私,もっと,がんばれ
あなた,を,応援
あるくん,一緒に,歩いた
プロ,だけど,飲む
キャラ,色々と,叫ぶ
俺,さえ,わからない
びっくり,も,いけない
ぱん,しか,神だね
姐さん,！！！,寝てる
スマフォ,・・・,遅刻
本,お前・・・,かわいい
教科書,あなた,かっこいい
財布,は,いいね
パソコン,を,触る
ワオ！,素晴らしい,ライドオン
こんにちは,めっちゃ,エキサイティン
自分,って,暑い
一人は,なんちゃらで,寂しい…
僕は,？？を,好きになる
運動は,必要に,なでなで
めちゃくちゃ,たくさん歩いて,疲れたね
君は,運動をあまり,しないね。
僕は,君のことが,好きなんだよ
運動は,辛いけど,がんばろうね
食べ物が,食べたいんだけど,なぁ…。
私は,魚が,好きだよ
明日は,明日の,風が吹く
地球は,青かった,よ
おかえりなさい,明日も,ファイトだよ！
昨日,友達に,会ったよ
今日の,ご飯は,ハンバーグかな？
お疲れ様！,学校は,どうだったかな？
おれは,野球を,したよ！
今日は,どれだけ,歩けたかな？
１駅,歩くだけで,いい運動！
もっと,いっぱい,食べたいな///
明日は,どんな,景色を見るのかな？
神キャラ,外に,出てみよう！
不安,こさねぇ,もう見たかい？
今日は,どんな景色を,見たのかな？
えすかれーたーじゃなく,階段使えば,健康に！
あと1000歩,歩いたら,結婚するんだ…
単純なことも,回って,誰かのためになる
食べぬなら,歩いて減らそう,体脂肪
少しくらい,太っていても,いいじゃない？
いくら食べても,その分歩けば,大丈夫
三日坊主,には,させないよ…
ねぇ…,どこに行ってたの？,待ってたのに…
僕のこと,忘れてるの…,寂しいよ…
今日のことは,今日のうちに,忘れよう
色々な,景色を,見に行こう！
何か,悩み事があるの？,教えてよ！
歩いてみよう,色々な,物が見えるよ
なぜ,歩くかって？,そこに道があるからだよ
歩いて,嫌なこと,忘れよう！
先生,みなさん,オピンコス
ゆっくり,歩いてみよう,急ぐことはないさ
回り道,見えない物が,見えるかも
エスカレーター,エレベーターより,階段で
息抜きに,空を見上げ,星を見よう
落ち着いて,周りと自分は,別人だ
カロリー計算,は,任せて！
部屋を,もうすこし,綺麗にしたいな…
歩く時に,周りを見てみて,いつもと違う物が見えるかも
いつか,きっと,いいことあるよ
腹が,減っては,戦はできぬ
あまり,無理,しないで
カロリーを,歩いて,消費
歩いて,餌を,与えてね！
逃げも,時には,必要だ
自分に,合った,目標でやろう
寝不足は,色々な,デメリット
朝食,しっかり,たべよう
歩いて,体調,整えよう
１駅分,歩いて,リフレッシュ
何も,考えずに,歩いてみよう
新年,あけまして,おめでとうございます
お正月,動かないと,太るよ
初詣,歩いて,行こう！
バレンタインデー,君は,もらえたかな？
動いて,嫌なこと,忘れよう
節分,豆を,蒔いたかな？
一番,短い,月だね
お返しは,もう,買ったかな？
ホワイトデー,３倍返しは,もう古い？
新しい,一歩を,踏み出す時
別れは,新たな,出会いを生み出す
桜が,咲いたら,見に行こう！
お花見で,飲み過ぎ食べ過ぎ,要注意
新しい,仲間と,出会えたかな？
花粉症,の時期,は辛いよね…
辛かったら,無理をせず,休もうね！
GW,連休使って,なにするの？
５月病,に,ならないでね！
誕生日,おめでとう,ございます！
雨の,多い,季節だね…
晴れた日は,外に出て,運動しよう
結婚式,あげる人が,多いよね！
もうすぐ,待ちに待った,夏休み！
暑いから,熱中症には,気をつけて！
突然の,雨には,要注意
水分,補給を,忘れずに！
暑いけど,がんばって,目標達成
お盆には,ご先祖様を,お迎えに
夏のレジャー,気をつけて,遊ぼうね！
残暑が,厳しいで,ざんしょ←
月が,とても,綺麗だね！
食欲の秋,食べ過ぎたら,歩こうね！
読書も,いいけど,運動も！
スポーツの秋,気合を入れて,運動を！
紅葉が,綺麗,だね
色づいた,木々を見て,一休み
一年も,もうすぐ,終わるね…
みかん,のおいしい,季節だね
秋刀魚の,食べ過ぎには,気をつけて
こたつは,だしても,動こうね
年末に向けて,忙しいけど,がんばろう！！
寒さに,負けず,ファイト！！
クリスマス,なんて,なかった
クリスマス,一緒に,過ごそう
プレゼント,君は,もらったかな？
冬休み,予定は,決まったかな？
一年間,お世話になりました,来年もよろしくね！
寒いけど,運動を,忘れずに！
忘年会,飲み過ぎ,注意！
